Month,Monthly_Revenue,Monthly_Expenses,CAC,LTV,Run_Rate,COGS,Profits,Category,Type_of_Items,LTV_CAC_Ratio,Burn_Rate
Jan-22,15470.93,16918.48,251.4,4787.11,185651.1,11455.16,-1447.55,Services,Software Subscription,21.83734499,2134.27
Jan-22,15818.14,16504.86,254.21,6254.07,189817.64,10222.03,-686.72,Services,Support,24.31432589,1395.39
Mar-22,15681.24,17076.63,256.04,6225.44,188174.86,11814.65,-1395.39,Electronics,Phones,24.97636727,311.28
Apr-22,15539.42,15850.7,250.5,6256.58,186473.04,10088.35,-311.28,Books,Reference,17.15799362,-170.79
May-22,16015.74,15612.08,253.67,3412.73,192188.91,12185.94,403.66,Books,Non-Fiction,20.92087151,249.84
May-22,15814.94,16047.81,257.3,5354.49,189779.25,11882.63,-232.87,Home Goods,Furniture,19.77104562,1139.11
Jun-22,16390.84,16640.68,254.27,5319.55,196690.06,12508.94,-249.84,Books,Fiction,19.96045729,793.54
Jul-22,16232.56,17371.67,255.16,5044.78,194790.68,12253.87,-1139.11,Apparel,Dresses,22.55699241,836.86
Aug-22,16001.19,16794.73,255.42,5098.3,192014.34,12104.02,-793.54,Books,Childrens,23.64619917,-123.13
Sep-22,15783.91,16620.77,258.28,5826.02,189406.87,11096.64,-836.86,Books,Non-Fiction,15.9117051,-1493.35
Oct-22,16088.68,15965.55,261.39,6180.88,193064.21,12258.93,123.13,Home Goods,Furniture,19.88348876,-1389.71
Nov-22,16110.93,14617.58,261.51,4161.07,193331.17,11049.97,1493.35,Apparel,Pants,14.73760899,177.05
Dec-22,16542.64,15152.93,258.43,5138.49,198511.66,10394.76,1389.71,Electronics,Phones,24.63406738,1334.96
Jan-23,16366.39,16543.44,261.48,3853.59,196396.67,12356.22,-177.05,Home Goods,Furniture,19.64536393,446.95
Feb-23,16542.01,17876.97,265.65,6544.04,198504.07,11220.64,-1334.96,Books,Non-Fiction,23.58439002,637.51
Mar-23,16330.91,16777.86,265.85,5222.72,195970.87,10229.2,-446.95,Books,Reference,22.14042521,-1440.63
Apr-23,16283.09,16920.6,264.19,6230.76,195397.13,10129.63,-637.51,Services,Software Subscription,14.18904344,-13.88
May-23,16451.52,15010.89,264.34,5852.6,197418.28,12727.14,1440.63,Services,Consulting,17.73982537,-788.41
Jun-23,16868.43,16854.55,268.88,3815.15,202421.16,12918.06,13.88,Electronics,Phones,24.53681383,863.76
Jul-23,17395.28,16606.87,270.28,4794.72,208743.34,13281.7,788.41,Books,Fiction,13.30338872,-1216.79
Aug-23,17520.39,18384.15,275.44,6758.42,210244.65,13334.39,-863.76,Apparel,Outerwear,14.97327223,-1328.29
Sep-23,17707.44,16490.65,275.62,3666.68,212489.33,11802.14,1216.79,Books,Fiction,14.03926854,1393.14
Oct-23,18201.83,16873.54,272.75,4083.96,218421.93,11525.16,1328.29,Services,Software Subscription,24.9051399,-1346.51
Nov-23,18169.15,19562.29,274.52,3854.06,218029.82,12947.36,-1393.14,Books,Fiction,19.27447258,-74.99
Dec-23,18435.34,17088.83,278.41,6933.84,221224.05,13376.07,1346.51,Home Goods,Kitchenware,21.6669843,-880.06
Jan-24,19040.21,18965.22,279.19,5381.24,228482.52,12602.48,74.99,Home Goods,Kitchenware,19.1107501,1308.98
Feb-24,19039.94,18159.88,283.35,6139.34,228479.29,14317.77,880.06,Electronics,Phones,19.30355518,-288.45
Mar-24,19561.14,20870.12,286.23,5470.07,234733.73,12902.88,-1308.98,Electronics,Accessories,25.70632983,1897.21
Apr-24,20150.35,19861.9,285.78,5516.57,241804.2,12928.18,288.45,Services,Consulting,21.32643025,273.79
